





,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0,0
,0,0
,0,0
,0,0
,0,0
,0,0
,0,0
,0,0
,0,0
,0,0
,0,0
,0,0
,0,0
,0,0
,0,0
,0,0
,0,0
,1,1
,2,2
,3,3
,4,4
,5,5
,6,6
,8,7
,9,8
,10,10
,11,10
,12,12
,13,13
,15,14
,15,15
,16,16
,18,17
,18,18
,20,19
,21,20
,22,22
,23,22
,24,24
,25,25
,26,26
,26,27
,28,28
,29,29
,30,29
,31,30
,32,31
,32,32
,33,33
,35,34
,36,35
,37,36
,38,37
,39,39
,40,40
,42,41
,42,42
,43,43
,45,44
,46,45
,47,46
,48,47
,49,49
,50,49
,51,50
,52,51
,53,52
,53,53
,55,54
,56,54
,55,56
,57,57
,58,57
,59,59
,60,59
,61,60
,62,61
,63,62
,64,63
,65,64
,66,65
,67,67
,68,68
,69,69
,70,70
,72,71
,73,72
,73,73
,75,74
,76,75
,77,75
,77,77
,79,78
,80,79
,80,80
,81,81
,82,82
,83,83
,85,84
,85,84
,86,86
,87,87
,87,88
,89,88
,90,89
,91,90
,92,90
,93,92
,94,93
,95,94
,96,95
,97,97
,97,97
,98,98
,100,99
,101,100
,102,102
,103,102
,104,103
,105,104
,106,105
,107,106
,108,108
,108,108
,110,109
,111,110
,112,112
,112,112
,113,113,0
,113,113,3
,112,112,5
,112,112,8
,112,112,9
,111,112,12
,111,112,14
,111,112,17
,110,112,19
,110,112,22
,110,112,24
,109,112,27
,109,112,29
,109,112,32
,109,112,34
,108,111,36
,108,111,39
,108,111,41
,108,111,44
,107,111,46
,107,110,49
,107,110,51
,106,110,54
,106,109,56
,106,109,59
,106,109,61
,105,108,63
,105,108,65
,105,108,68
,104,107,69
,104,107,71
,104,107,73
,103,107,75
,103,107,77
,103,106,79
,103,106,82
,102,106,83
,102,106,86
,102,106,87
,101,106,90
,101,106,91
,101,105,94
,101,105,95
,101,105,98
,100,105,100
,101,104,100
,102,104,102
,102,104,102
,104,104,103
,104,103,104
,105,105,104
,105,105,104
,106,106,105
,106,105,105
,107,106,106
,107,107,107
,108,108,107
,108,108,108
,109,108,108
,110,109,109
,110,110,108
,111,110,110
,111,111,111
,112,112,111
,112,112,112
,113,113,112
,114,112,113
,114,114,113
,114,114,114
,115,115,114
,115,115,115
,116,116,115
,116,116,116
,117,116,116
,117,117,117
,118,116,117
,118,118,117
,119,118,118
,119,119,118
,120,118,119
,120,120,119
,121,120,120
,122,121,121
,121,122,121
,122,122,122
,123,123,121
,123,123,123
,124,124,123
,124,124,124
,125,125,124
,125,125,125
,126,126,125
,126,126,126
,127,127,126
,128,127,126
,128,128,127
,129,128,128
,129,129,129
,130,129,129
,130,130,129
,131,130,130
,131,131,131
,132,131,131
,132,132,131
,132,133,132
,133,133,132
,134,134,133
,135,134,134
,135,135,135
,136,135,135
,136,136,136
,137,137,136
,137,137,137
,138,138,137
,139,139,137
,139,139,138
,140,139,139
,140,140,139
,141,141,140
,141,141,140
,142,141,141
,142,142,142
,143,142,142
,144,143,143
,144,144,143
,145,144,144
,145,145,144
,146,146,145
,146,145,145
,147,146,146
,147,147,147
,147,147,147
,148,148,147
,148,148,148
,149,149,149
,150,149,148
,150,150,149
,151,150,150
,151,151,151
,151,151,151
,152,152,151
,153,152,152
,153,153,153
,154,152,153
,154,154,153
,155,154,154
,155,155,155
,156,155,155
,156,156,156
,157,156,156
,157,156,157
,158,157,157
,158,158,157
,159,158,158
,159,159,158
,160,159,159
,160,160,159
,161,160,160
,161,161,160
,162,161,161
,162,161,161
,163,162,162
,162,163,162
,163,163,163
,164,164,162
,164,163,164
,165,165,164
,165,165,165
,166,166,166
,167,166,165
,167,167,167
,168,167,167
,169,168,168
,169,169,168
,170,170,169
,171,169,170
,171,170,170
,171,171,171
,172,172,171
,172,172,172
,173,173,171
,173,173,173
,174,174,173
,175,174,174
,174,174,174,1
,174,174,173,4
,174,174,173,6
,173,173,172,9
,173,173,172,10
,173,173,171,13
,173,172,171,15
,172,172,171,18
,172,172,170,20
,172,172,170,23
,171,171,169,25
,171,171,169,28
,171,171,168,30
,170,170,168,33
,170,170,167,35
,170,169,167,37
,170,169,166,40
,169,169,166,42
,169,168,166,45
,169,168,165,47
,168,168,165,50
,168,168,164,52
,168,168,164,55
,168,167,163,57
,167,167,163,60
,167,167,163,62
,167,167,162,64
,166,167,162,66
,166,167,161,68
,166,167,161,70
,166,166,160,71
,165,166,160,74
,165,166,159,76
,165,165,159,78
,165,165,158,80
,164,165,158,82
,164,165,158,84
,164,165,157,86
,163,164,157,88
,163,164,156,91
,163,164,156,92
,162,164,156,95
,162,163,155,96
,162,163,155,96
,161,163,154,95
,161,162,154,95
